location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
Spain,2021-05-17,3615860,11061,4924,79432,93,76.714,77336.687,236.575,105.315,1698.906,1.989,1.641,0.9,NA,NA,NA,NA,110431,2.362,tests performed,22587343,15495889,7323426,274255,346383,48.31,33.14,15.66,7409,61.57,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,NA
Indonesia,2021-05-13,1731652,3448,4906.714,47716,99,174.286,6330.905,12.606,17.939,174.449,0.362,0.637,0.85,21713,10343074,37.814,0.079,36999,0.135,people tested,22617205,13697256,8919949,NA,178493,8.27,5.01,3.26,653,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,NA
France,2021-05-02,5713393,9888,22038.857,104980,113,280.429,84562.367,146.35,326.191,1553.78,1.672,4.151,0.81,58017,NA,NA,0.859,295413,4.372,people tested,22618570,16079287,6601064,128067,395783,33.48,23.8,9.77,5858,78.7,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,15.29
Indonesia,2021-05-14,1734285,2633,4379,47823,107,165.714,6340.531,9.626,16.01,174.84,0.391,0.606,0.84,15945,10359019,37.872,0.058,32615,0.119,people tested,22622367,13700389,8921978,5162,136500,8.27,5.01,3.26,499,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,NA
Indonesia,2021-05-16,1739750,3080,3723.714,48093,126,154.429,6360.511,11.26,13.614,175.828,0.461,0.565,0.91,27640,10409178,38.056,0.101,29073,0.106,people tested,22721097,13745160,8975937,NA,103971,8.31,5.03,3.28,380,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,NA
United States,2021-01-25,25357727,151677,171103.857,429179,1976,3197.286,76608.834,458.235,516.926,1296.603,5.97,9.659,0.85,1225511,298990947,903.289,3.702,1663173,5.025,tests performed,22734243,19252279,3346390,885588,1126251,6.8,5.76,1,3368,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA
Poland,2021-06-08,2875729,401,408.714,74255,95,57,75983.804,10.595,10.799,1961.999,2.51,1.506,0.51,63510,15987254,422.422,1.678,47479,1.255,people tested,22737088,14845783,8621029,396464,314435,60.08,39.23,22.78,8308,53.7,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA
China,2021-01-27,89373,54,89.429,4636,0,0.143,62.094,0.038,0.062,3.221,0,0,0.82,NA,NA,NA,NA,NA,NA,no information,22767000,NA,NA,NA,1109571,1.58,NA,NA,771,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.761,NA
Russia,2021-05-13,4857303,8259,8204.429,112795,385,347,33284.14,56.594,56.22,772.915,2.638,2.378,1.02,369841,132774924,909.826,2.534,268042,1.837,tests performed,22782931,13653498,9129433,206986,229317,15.61,9.36,6.26,1571,36.57,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA
Canada,2021-05-28,1382107,3114,3120.429,25424,31,39.429,36619.714,82.507,82.678,673.623,0.821,1.045,0.7,100596,34550157,915.426,2.665,81588,2.162,tests performed,22810709,20932071,1878638,463396,354418,60.44,55.46,4.98,9391,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA
